2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/28 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/29 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/29 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/30 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/30 14:00; Rainfall: 12.7
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/31 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/31 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/01 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/01 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/02 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/02 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/03 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/03 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/04 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/04 14:00; Rainfall: 38.354
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/05 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/05 14:00; Rainfall: 2.286
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/06 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/06 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/07 08:00; Rainfall: 6.604
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/07 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/08 08:00; Rainfall: 4.318
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/08 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/09 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/09 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/11/10 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/10 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/11 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/11 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/12 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/12 14:00; Rainfall: 1.778
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/13 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/13 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/14 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/14 14:00; Rainfall: 19.558
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/15 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/15 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/16 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/16 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/17 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/17 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/18 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/18 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/19 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/19 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/20 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/20 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/21 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/21 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/22 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/22 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/23 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/23 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/24 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/24 14:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/25 08:00; Rainfall: 0
2016-12-14 13:36:13.482 +02:00 [Verbose] Date: 1937/11/25 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/26 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/26 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/27 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/27 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/28 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/28 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/29 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/29 14:00; Rainfall: 2.54
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/30 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/11/30 14:00; Rainfall: 3.556
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/01 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/01 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/02 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/02 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/03 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/03 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/04 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/04 14:00; Rainfall: 18.288
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/05 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/05 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/06 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/06 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/07 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/07 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/08 08:00; Rainfall: 0.762
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/08 14:00; Rainfall: 0
